chrom	start	end	is_ref	AC	AF	AC_EAS	AC_AMR	AC_AFR	AC_SAS	fst	len_poly_score
chr11	33641542	33641664	False	50	0.2659574468085106	12	16	7	8	0.045589267722387	21.904761904761905
chr11	33641542	33641664	False	18	0.0957446808510638	4	1	7	5	0.0286988839620417	21.904761904761905
chr11	33641542	33641664	False	17	0.0904255319148936	0	0	15	0	0.2267674522009782	21.904761904761905
chr11	33641542	33641664	False	10	0.0531914893617021	2	4	2	2	0.004124994855332	21.904761904761905
chr11	33641542	33641664	False	10	0.0531914893617021	1	3	1	5	0.0211355825822116	21.904761904761905
chr11	33641542	33641664	False	7	0.0372340425531914	1	3	1	2	0.0050286795551198	21.904761904761905
chr11	33641542	33641664	False	6	0.0319148936170212	1	0	5	0	0.0551827979712594	21.904761904761905
chr11	33641542	33641664	False	6	0.0319148936170212	0	4	0	2	0.0305686377114948	21.904761904761905
chr11	33641542	33641664	False	6	0.0319148936170212	0	3	1	2	0.0123592829636784	21.904761904761905
chr11	33641542	33641664	False	5	0.026595744680851	0	0	2	3	0.0270071458596047	21.904761904761905
chr11	33641542	33641664	False	5	0.026595744680851	1	2	0	2	0.0108964350767628	21.904761904761905
chr11	33641542	33641664	False	5	0.026595744680851	1	3	0	1	0.0163999479573251	21.904761904761905
chr11	33641542	33641664	False	5	0.026595744680851	0	2	0	2	0.0177924430641819	21.904761904761905
chr11	33641542	33641664	False	4	0.0212765957446808	0	0	4	0	0.0568561872909699	21.904761904761905
chr11	33641542	33641664	False	4	0.0212765957446808	1	2	1	0	0.0094007554945054	21.904761904761905
chr11	33641542	33641664	False	3	0.0159574468085106	0	1	1	1	0.0034039534039536	21.904761904761905
chr11	33641542	33641664	False	3	0.0159574468085106	0	1	2	0	0.0158895158895159	21.904761904761905
chr11	33641542	33641664	False	3	0.0159574468085106	2	0	0	1	0.0331831831831831	21.904761904761905
chr11	33641542	33641664	False	3	0.0159574468085106	1	1	0	1	0.0074753324753324	21.904761904761905
chr11	33641542	33641664	False	2	0.0106382978723404	0	1	0	1	0.0088005632360469	21.904761904761905
chr11	33641542	33641664	False	2	0.0106382978723404	0	0	0	2	0.0313620071684587	21.904761904761905
chr11	33641542	33641664	False	2	0.0106382978723404	0	2	0	0	0.0253456221198155	21.904761904761905
chr11	33641542	33641664	False	2	0.0106382978723404	0	1	0	1	0.0088005632360469	21.904761904761905
chr11	33641542	33641664	True	2	0.0106382978723404	0	0	0	2	0.0313620071684587	21.904761904761905
chr11	33641542	33641664	False	2	0.0106382978723404	0	1	0	1	0.0088005632360469	21.904761904761905
chr11	33641542	33641664	False	2	0.0106382978723404	1	0	0	1	0.0155689964157705	21.904761904761905
